id,layer,source,signals,missingSignals,status
backward-compatible-cohort-policy,server,lib/realm-pilot.js,REALM_PILOT_COHORT_STRATEGIES | cohortStrategy: 'roles' | memberIds: Object.freeze([]) | REALM_PILOT_MEMBER_LIMIT = 50,,verified
named-member-server-enforcement,server,lib/realm-pilot.js,config.cohortStrategy === 'members' | config.memberIds.includes(user.id) | code: 'realm_pilot_cohort_required' | resolvedSurface: 'erp',,verified
active-internal-member-validation,server,lib/realm-pilot.js,status: 'active' | userType: 'employee' | realm_pilot_members_stale | realm_pilot_members_required,,verified
bounded-cohort-input,server,lib/realm-pilot.js,"REALM_PILOT_MEMBER_LIMIT | realm_pilot_member_limit | .slice(0, REALM_PILOT_MEMBER_LIMIT)",,verified
director-only-minimal-directory,api,app/api/realm-demo/pilot/route.js,const director = isDirector(user) | loadRealmPilotDirectory(prisma) | directory,,verified
non-director-member-redaction,api,app/api/realm-demo/pilot/route.js,publicRealmPilotConfig(decision.config) | director ? decision.config,,verified
minimal-directory-fields,server,lib/realm-pilot.js,"select: { id: true, name: true, title: true, role: true, roles: true } | loadRealmPilotDirectory",,verified
serializable-versioned-policy,server,lib/realm-pilot.js,realm_pilot_version_conflict | currentConfig.version + 1 | isolationLevel: 'Serializable',,verified
audit-count-not-roster,server,lib/realm-pilot.js,cohort ${config.cohortStrategy}; members ${config.memberIds.length} | entity: 'realm_pilot',,verified
aggregate-only-adoption,server,lib/realm-pilot.js,eligibleUsers | aggregateOnly: true | performanceTracking: false | durationTracking: false,,verified
strategy-aware-readiness,server,lib/realm-readiness.js,policy.cohortStrategy === 'members' | nhân sự được chọn đích danh | Pilot theo cohort,,verified
named-cohort-control,client,components/realm/RealmPilotControl.jsx,"Nhân sự cụ thể | Tìm nhân sự pilot | Đã chọn {draft.memberIds.length} | không hiển thị thời lượng, tiến độ hay điểm hiệu suất",,verified
accessible-responsive-picker,style,components/realm/realm-pilot-control.module.css,min-height: 44px | .memberList label:focus-within | @media (max-width: 680px) | @media (prefers-reduced-motion: reduce),,verified
erp-default-and-kill-switch,client,components/realm/RealmPilotControl.jsx,An toàn nhất cho rollout ban đầu | ERP cổ điển vẫn luôn khả dụng | Tạm đóng,,verified
kill-switch-bypasses-stale-roster,server,lib/realm-pilot.js,draft.mode === 'pilot' && draft.cohortStrategy === 'members' | config.mode === 'off' | resolvedSurface: 'erp',,verified
operations-runbook,operations,docs/realms/PHASE-13-NAMED-COHORT-RUNBOOK.md,crmegoric-realms-demo | 3–8 | mode = off | /dashboard | không tự bật pilot,,verified
authenticated-cohort-uat,test,tests/e2e/realm-smoke.spec.mjs,Pilot theo cohort | Nhân sự cụ thể | Tìm nhân sự pilot,,verified
