id,layer,source,signals,forbiddenSignals,missingSignals,status
erp-ticket-source-of-truth,database,prisma/schema.prisma,model Ticket | source | feedbackType | feedbackSurface | feedbackContext | reporterId | requestKey,,,verified
additive-ticket-migration,database,prisma/migrations/20260719133000_add_realm_pilot_feedback/migration.sql,"ALTER TABLE ""Ticket"" | Ticket_requestKey_key | Ticket_source_status_idx | Ticket_reporterId_createdAt_idx",,,verified
authenticated-internal-api,api,app/api/realm-demo/feedback/route.js,authenticatedUser() | freelancer_forbidden | export async function GET | export async function POST | export async function PATCH,,,verified
idempotent-serializable-create,server,lib/realm-feedback.js,normalizeRealmIdempotencyKey | findUnique({ where: { requestKey } }) | isolationLevel: 'Serializable' | idempotent: true,,,verified
staff-own-scope,server,lib/realm-feedback.js,"{ source: REALM_FEEDBACK_SOURCE, reporterId: user.id } | manager, | reporter: reporterName",,,verified
manager-rbac,server,lib/realm-feedback.js,"hasAny(user, ['HR', 'PM']) | realm_feedback_manager_forbidden",,,verified
optimistic-concurrency,server,lib/realm-feedback.js,expectedUpdatedAt | realm_feedback_stale | Phản hồi vừa được người khác cập nhật,,,verified
sla-and-status-workflow,server,lib/realm-feedback.js,"blocked: { priority: 'high', slaHours: 8 } | degraded: { priority: 'normal', slaHours: 24 } | REALM_FEEDBACK_STATUSES",,,verified
audit-log-append,server,lib/realm-feedback.js,realm_feedback_create | realm_feedback_update | auditLog.create,,,verified
change-feed-and-notification,api,app/api/realm-demo/feedback/route.js,"emitEvent('tickets', 'create' | await notify( | emitEvent('tickets', 'update'",,,verified
declared-private-context,server,lib/realm-feedback.js,"privacy: 'no-record-content' | excludedContext: ['form-values', 'record-content', 'browser-history', 'keystrokes'] | durationTracking: false | performanceTracking: false",,,verified
cross-surface-launcher,client,components/realm/RealmFeedbackLauncher.jsx,Phản hồi pilot | surface === 'realm' | Gửi vào Guild Support | Ticket ERP,,,verified
erp-safe-fallback,client,components/realm/RealmFeedbackLauncher.jsx,"persistWorkspaceSurface('erp') | Về ERP an toàn | href=""/dashboard""",,,verified
pilot-operations-queue,client,components/realm/RealmFeedbackOperations.jsx,Guild Support · Pilot Operations | Hàng chờ xử lý | expectedUpdatedAt | Lưu &amp; thông báo,,,verified
accessible-responsive-launcher,style,components/realm/realm-feedback-launcher.module.css,min-height: 44px | :focus-visible | @media (max-width: 680px) | @media (prefers-reduced-motion: reduce),,,verified
accessible-responsive-operations,style,components/realm/realm-feedback-operations.module.css,min-height: 44px | :focus-visible | @media (max-width: 680px) | @media (prefers-reduced-motion: reduce),,,verified
shell-available-on-both-surfaces,client,components/Shell.jsx,RealmFeedbackLauncher | !isFL && <RealmFeedbackLauncher />,,,verified
schema-readiness-v8,health,lib/realm-health.js,REALM_SCHEMA_VERSION = 8 | 20260719133000_add_realm_pilot_feedback | missing.push('pilot_feedback'),,,verified
