id,layer,source,signals,missingSignals,status
reuse-erp-approval-model,data,lib/realm-launch-approval.js,type: 'realm_launch' | tx.approval.create | tx.setting.findUnique,,verified
encrypted-policy-payload,security,lib/realm-launch-approval.js,createCipheriv('aes-256-gcm' | cipher.setAAD(PAYLOAD_AAD) | cipher.getAuthTag(),,verified
authenticated-ciphertext-verification,security,lib/realm-launch-approval.js,createDecipheriv('aes-256-gcm' | decipher.setAuthTag | realm_launch_approval_payload_invalid,,verified
director-only-maker-checker,rbac,lib/realm-launch-approval.js,requireDirector(sessionUser) | approval.requesterId === sessionUser.id | self_approval_forbidden,,verified
expansion-only-approval,server,lib/realm-launch-approval.js,preview.risk !== 'expansion' | realm_launch_approval_not_required,,verified
preview-reverified-before-request,server,lib/realm-launch-approval.js,"verifyRealmLaunchApplication(tx, sessionUser | token, | currentPolicy",,verified
duplicate-pending-guard,server,lib/realm-launch-approval.js,"type: 'realm_launch', refId, status: 'pending' | realm_launch_approval_duplicate",,verified
twenty-four-hour-expiry,safety,lib/realm-launch-approval.js,REALM_LAUNCH_APPROVAL_TTL_MS = 24 * 60 * 60 * 1000 | Yêu cầu đã hết hạn 24 giờ,,verified
policy-digest-binding,security,lib/realm-launch-approval.js,realmLaunchPolicyDigest(proposal.draftPolicy) !== approval.refId,,verified
approval-cas-claim,server,lib/realm-launch-approval.js,"where: { id: approval.id, status: 'pending', steps: approval.steps } | approval_decision_stale",,verified
live-readiness-before-claim,server,lib/realm-launch-approval.js,"loadRealmLaunchReadiness(tx, proposal.draftPolicy, now) | if (!readiness.ready) | realm_launch_readiness_stale",,verified
atomic-approval-policy-audit,transaction,lib/realm-launch-approval.js,applyRealmPilotConfigInTransaction(tx | isolationLevel: 'Serializable' | entity: 'approvals',,verified
aggregate-only-list-contract,privacy,lib/realm-launch-approval.js,rosterIncluded: false | eligibleUsers: | fallbackUsers: | payloadReadable,,verified
direct-expansion-bypass-blocked,api,app/api/realm-demo/pilot/route.js,preview.risk === 'expansion' | realm_launch_approval_required,,verified
private-approval-api,api,app/api/realm-demo/launch/approvals/route.js,authenticatedUser() | realmJsonResponse | realm_launch_approval_created,,verified
cross-surface-notification,integration,app/api/realm-demo/launch/approvals/route.js,usersWithRole('DIRECTOR') | notificationRecordRoute | safelyPublishRealmChange,,verified
erp-approval-inbox-delegation,integration,app/api/approvals/[id]/decide/route.js,ap.type === 'realm_launch' | decideRealmLaunchApproval | realmLaunchSecret(),,verified
progressive-four-eyes-ui,client,components/realm/RealmPilotControl.jsx,Bàn duyệt phát hành | Gửi Director khác duyệt | Duyệt &amp; áp dụng | Policy chi tiết được mã hóa,,verified
accessible-responsive-approval-ui,style,components/realm/realm-pilot-control.module.css,.approvalBoard | .approvalCardFooter button { min-height: 44px; | .approvalColumns { grid-template-columns: 1fr; | @media (max-width: 680px),,verified
phase15-test-suite,test,tests/realm-launch-approval.test.mjs,forbids self approval | blockers before claim | ciphertext tampering,,verified
operations-runbook,operations,docs/realms/PHASE-15-FOUR-EYES-LAUNCH-APPROVAL.md,crmegoric-realms-demo | Director thứ hai | mode = off | không tự bật pilot,,verified
