"elementId","source","line","surface","kind","label","ownerComponent","effectiveHandlerEvent","actionType","mappingStatus","mappingConfidence","handlerChain","delegatedCallbacks","usedBySurfaces","routeTargets","apiCalls","resourceOperations","contextResources","prismaModels","contextModels","permissionPolicies","allowedRoles","rowPolicy","scopedRead","loadingState","successState","errorState","confirmationState","browserActions","helperCalls","localMutations","uxStateCandidates"
"route.analytics.action.ghi-phan-hoi","app/(app)/analytics/page.jsx","158","route.analytics","action","Ghi phản hồi","AnalyticsPage","onClick","local-state","classified-local","high","","","","","","","clients | csat | invoices | leads | nps | transactions","","Client | CsatResponse | Invoice | Lead | NpsResponse | Transaction","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.analytics.action.setmodal-mode-del-row-r","app/(app)/analytics/page.jsx","168","route.analytics","action","","AnalyticsPage","onClick","local-state","classified-local","high","","","","","","","clients | csat | invoices | leads | nps | transactions","","Client | CsatResponse | Invoice | Lead | NpsResponse | Transaction","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.approvals.action.ang-xu-ly-duyet","app/(app)/approvals/page.jsx","42","route.approvals","action","Đang xử lý… / Duyệt","ApCard","onClick","data-action","delegated-resolved","medium","decide | load","onDecide","route:/approvals","","GET /api/approvals | POST /api/approvals/*/decide","","","Approval | AuditLog | CollaborationPresenceSession | Conversation | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Ticket | Transaction | User | VendorBill | Webhook","","explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.approvals.action.tu-choi","app/(app)/approvals/page.jsx","43","route.approvals","action","Từ chối","ApCard","onClick","data-action","delegated-resolved","medium","decide | load","onDecide","route:/approvals","","GET /api/approvals | POST /api/approvals/*/decide","","","Approval | AuditLog | CollaborationPresenceSession | Conversation | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Ticket | Transaction | User | VendorBill | Webhook","","explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.assets.action.them-tai-san","app/(app)/assets/page.jsx","49","route.assets","action","Thêm tài sản","AssetsPage","onClick","local-state","classified-local","high","","","","","","","assets | users","","Asset | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.assets.action.sua","app/(app)/assets/page.jsx","66","route.assets","action","Sửa","AssetsPage","onClick","local-state","classified-local","high","","","","","","","assets | users","","Asset | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.assets.action.xoa","app/(app)/assets/page.jsx","67","route.assets","action","Xóa","AssetsPage","onClick","local-state","classified-local","high","","","","","","","assets | users","","Asset | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.attendance.action.label","app/(app)/attendance/page.jsx","78","route.attendance","action","{label}","AttendancePage","onClick","data-action","handler-resolved","high","clockIn | nowHM | punch","","","","GET /api/data/attendance | POST /api/attendance/punch","read:attendance","attendance | holidays | users","Attendance | AuditLog | RealmGoldEntry | Setting","Attendance | Holiday | User","authenticated-custom | registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","false","true","async-button-guard","hook-refresh","hook-error-toast","not-required","","","",""
"route.attendance.action.tan-ca","app/(app)/attendance/page.jsx","80","route.attendance","action","🚪 Tan ca","AttendancePage","onClick","data-action","handler-resolved","high","clockOut | punch","","","","GET /api/data/attendance | POST /api/attendance/punch","read:attendance","attendance | holidays | users","Attendance | AuditLog | RealmGoldEntry | Setting","Attendance | Holiday | User","authenticated-custom | registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","false","true","async-button-guard","hook-refresh","hook-error-toast","not-required","","","",""
"route.attendance.form-control.select","app/(app)/attendance/page.jsx","89","route.attendance","form-control","","AttendancePage","onChange","form-control","classified-local","high","","","","","","","attendance | holidays | users","","Attendance | Holiday | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
