"route","method","source","models","roles","guards","permissionPolicy","usesModuleGuard","hasErrorHandling","statuses"
"/api/apikeys","GET","app/api/apikeys/route.js","ApiKey","","currentUser | isDirector","explicit-rbac","false","false","401 | 403"
"/api/apikeys","POST","app/api/apikeys/route.js","ApiKey | AuditLog","PM","currentUser | isDirector","explicit-rbac","false","false","400 | 401 | 403"
"/api/apikeys","PUT","app/api/apikeys/route.js","ApiKey | AuditLog","","currentUser | isDirector","explicit-rbac","false","false","401 | 403"
"/api/apikeys","DELETE","app/api/apikeys/route.js","ApiKey | AuditLog","","currentUser | isDirector","explicit-rbac","false","false","401 | 403"
"/api/approvals","GET","app/api/approvals/route.js","Approval","ACCOUNTANT | AM | PM | STAFF","currentUser | isDirector","explicit-rbac","false","true","401"
"/api/approvals/[id]/decide","POST","app/api/approvals/[id]/decide/route.js","Approval | AuditLog | CollaborationPresenceSession | Conversation | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Ticket | Transaction | User | VendorBill | Webhook","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","currentUser | isDirector | isFreelancer","explicit-rbac","false","true","400 | 401 | 403 | 409 | 500 | 503"
"/api/audit","GET","app/api/audit/route.js","AuditLog","","currentUser | isDirector","explicit-rbac","false","false","401 | 403"
"/api/auth/[...nextauth]","GET","app/api/auth/[...nextauth]/route.js","","","","public-or-unverified","false","false",""
"/api/auth/[...nextauth]","POST","app/api/auth/[...nextauth]/route.js","","","","public-or-unverified","false","false",""
"/api/ceo/v1/capabilities","GET","app/api/ceo/v1/capabilities/route.js","ApiKey | CeoApiRateLimitBucket | Setting","DIRECTOR","","explicit-rbac","false","true","400 | 401 | 403 | 429 | 500 | 503"
"/api/ceo/v1/command-gateway","GET","app/api/ceo/v1/command-gateway/route.js","CeoCommandDelivery | CeoPortalSession","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 503"
"/api/ceo/v1/command-gateway","POST","app/api/ceo/v1/command-gateway/route.js","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","DIRECTOR | HR","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 409 | 422 | 500 | 503"
"/api/ceo/v1/command-gateway/[id]/reconcile","POST","app/api/ceo/v1/command-gateway/[id]/reconcile/route.js","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession","DIRECTOR","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 409 | 422 | 503"
"/api/ceo/v1/commands","POST","app/api/ceo/v1/commands/route.js","ApiKey | Approval | AuditLog | CeoApiRateLimitBucket | CeoEntityCommandReceipt | CeoEntityDirectoryProfile | Notification | Project | RealmChangeEvent | Setting | Task | User","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","canWrite | isDirector","registry-rbac","false","true","400 | 401 | 403 | 409 | 422 | 429 | 500 | 503"
"/api/ceo/v1/commands/receipts","GET","app/api/ceo/v1/commands/receipts/route.js","ApiKey | CeoApiRateLimitBucket | CeoEntityCommandReceipt | Setting","DIRECTOR","isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 429 | 500 | 503"
"/api/ceo/v1/dashboard","GET","app/api/ceo/v1/dashboard/route.js","CeoEntityRegistry | CeoEntitySnapshotCache","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 503"
"/api/ceo/v1/dashboard/refresh","POST","app/api/ceo/v1/dashboard/refresh/route.js","AuditLog | CeoEntityRegistry | CeoEntitySnapshotCache | CeoRolloutState","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 409 | 500 | 503"
"/api/ceo/v1/directory","GET","app/api/ceo/v1/directory/route.js","ApiKey | CeoApiRateLimitBucket | CeoEntityDirectoryProfile | Setting","DIRECTOR","isDirector","explicit-rbac","false","true","400 | 401 | 403 | 429 | 500 | 503"
"/api/ceo/v1/directory/profile","GET","app/api/ceo/v1/directory/profile/route.js","CeoEntityDirectoryProfile | User","","currentUser | isFreelancer","authenticated-custom","false","true","401 | 403 | 404 | 500"
"/api/ceo/v1/directory/profile","PUT","app/api/ceo/v1/directory/profile/route.js","AuditLog | CeoEntityDirectoryProfile | User","","currentUser | isFreelancer","authenticated-custom","false","true","400 | 401 | 403 | 404"
"/api/ceo/v1/federation/policy","GET","app/api/ceo/v1/federation/policy/route.js","Setting","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 503"
"/api/ceo/v1/federation/policy","PUT","app/api/ceo/v1/federation/policy/route.js","AuditLog | Setting","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 409 | 503"
"/api/ceo/v1/federation/presence","GET","app/api/ceo/v1/federation/presence/route.js","ApiKey | CeoApiRateLimitBucket | CeoEntityDirectoryProfile | CollaborationPresenceSession | Setting","DIRECTOR","isDirector","explicit-rbac","false","true","400 | 401 | 403 | 429 | 500 | 503"
"/api/ceo/v1/federation/world","GET","app/api/ceo/v1/federation/world/route.js","AuditLog | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","DIRECTOR","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 409 | 500 | 503"
"/api/ceo/v1/health","GET","app/api/ceo/v1/health/route.js","ApiKey | CeoApiRateLimitBucket | Setting","DIRECTOR","","explicit-rbac","false","true","400 | 401 | 403 | 429 | 500 | 503"
"/api/ceo/v1/identity/recover","POST","app/api/ceo/v1/identity/recover/route.js","AuditLog | CeoGlobalIdentity | CeoPortalSession | CeoRecoveryCode | User","ACCOUNTANT | AM | PM | STAFF","isDirector","explicit-rbac","false","true","400 | 401 | 403 | 503"
"/api/ceo/v1/identity/recovery","POST","app/api/ceo/v1/identity/recovery/route.js","AuditLog | CeoGlobalIdentity | CeoPortalSession | CeoRecoveryCode","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 503"
"/api/ceo/v1/identity/session","GET","app/api/ceo/v1/identity/session/route.js","CeoEntityMembership | CeoGlobalIdentity | CeoPortalSession | CeoRecoveryCode","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 503"
"/api/ceo/v1/identity/session","POST","app/api/ceo/v1/identity/session/route.js","AuditLog | CeoEntityMembership | CeoEntityRegistry | CeoGlobalIdentity | CeoPortalSession | User","DIRECTOR","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 503"
"/api/ceo/v1/identity/session/step-up","POST","app/api/ceo/v1/identity/session/step-up/route.js","AuditLog | CeoPortalSession | User","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 409 | 503"
"/api/ceo/v1/identity/sessions/[id]/revoke","POST","app/api/ceo/v1/identity/sessions/[id]/revoke/route.js","AuditLog | CeoPortalSession","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 503"
"/api/ceo/v1/messaging/conversations","GET","app/api/ceo/v1/messaging/conversations/route.js","AuditLog | CeoEntityMembership | CeoPortalSession | CeoUnifiedConversation | CeoUnifiedMessage","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 503"
"/api/ceo/v1/messaging/conversations","POST","app/api/ceo/v1/messaging/conversations/route.js","AuditLog | CeoDirectoryProfileCache | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoUnifiedConversation","DIRECTOR","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 422 | 503"
"/api/ceo/v1/messaging/conversations/[id]","GET","app/api/ceo/v1/messaging/conversations/[id]/route.js","AuditLog | CeoEntityMembership | CeoPortalSession | CeoUnifiedConversation | CeoUnifiedMessage","","currentUser | isDirector","explicit-rbac","false","true","400 | 401 | 403 | 404 | 500 | 503"
