"elementId","ownerComponent","callback","source","line","surface","apiCalls","resourceOperations","routeTargets","helperCalls","localState"
"route.approvals.action.ang-xu-ly-duyet","ApCard","onDecide","app/(app)/approvals/page.jsx","101","route:/approvals","GET /api/approvals | POST /api/approvals/*/decide","","","","setDecidingId"
"route.approvals.action.ang-xu-ly-duyet","ApCard","onDecide","app/(app)/approvals/page.jsx","107","route:/approvals","GET /api/approvals | POST /api/approvals/*/decide","","","","setDecidingId"
"route.approvals.action.tu-choi","ApCard","onDecide","app/(app)/approvals/page.jsx","101","route:/approvals","GET /api/approvals | POST /api/approvals/*/decide","","","","setDecidingId"
"route.approvals.action.tu-choi","ApCard","onDecide","app/(app)/approvals/page.jsx","107","route:/approvals","GET /api/approvals | POST /api/approvals/*/decide","","","","setDecidingId"
"route.attendance.action.ong","HolidayModal","onClose","app/(app)/attendance/page.jsx","124","route:/attendance","","","","","setModal"
"route.attendance.action.huy","OtModal","onClose","app/(app)/attendance/page.jsx","125","route:/attendance","","","","","setModal"
"route.attendance.action.luu-ot","OtModal","onClose","app/(app)/attendance/page.jsx","125","route:/attendance","","","","","setModal"
"route.attendance.action.luu-ot","OtModal","onSave","app/(app)/attendance/page.jsx","125","route:/attendance","POST /api/data/attendance | PUT /api/data/attendance/[id]","create:attendance | update:attendance","","",""
"route.automation.action.huy","RuleModal","onClose","app/(app)/automation/page.jsx","132","route:/automation","","","","","setModal"
"route.automation.action.luu","RuleModal","onClose","app/(app)/automation/page.jsx","132","route:/automation","","","","","setModal"
"route.automation.action.luu","RuleModal","onSave","app/(app)/automation/page.jsx","132","route:/automation","POST /api/data/rules | PUT /api/data/rules/[id]","create:rules | update:rules","","",""
"route.freelancers.action.huy","SettleModal","onClose","app/(app)/freelancers/page.jsx","162","route:/freelancers","","","","","setModal"
"route.freelancers.action.tao-khoan-phai-tra","SettleModal","onClose","app/(app)/freelancers/page.jsx","162","route:/freelancers","","","","","setModal"
"route.freelancers.action.tao-khoan-phai-tra","SettleModal","onSave","app/(app)/freelancers/page.jsx","162","route:/freelancers","POST /api/data/payouts","create:payouts","","",""
"route.freelancers.action.huy.2","FreelancerModal","onClose","app/(app)/freelancers/page.jsx","161","route:/freelancers","","","","","setModal"
