elementId,source,line,label,actionType,loadingState,successState,errorState,confirmationState,status
route.approvals.action.ang-xu-ly-duyet,app/(app)/approvals/page.jsx,42,Đang xử lý… / Duyệt,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.approvals.action.tu-choi,app/(app)/approvals/page.jsx,43,Từ chối,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.attendance.action.label,app/(app)/attendance/page.jsx,62,{label},data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.attendance.action.tan-ca,app/(app)/attendance/page.jsx,64,🚪 Tan ca,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.attendance.action.them,app/(app)/attendance/page.jsx,148,Thêm,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.attendance.action.luu-ot,app/(app)/attendance/page.jsx,170,Lưu OT,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.automation.action.luu,app/(app)/automation/page.jsx,34,Lưu,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.automation.action.tat-bat,app/(app)/automation/page.jsx,126,Tắt / Bật,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.ceo-commands.form-submit.command,app/(app)/ceo-commands/page.jsx,208,COMMAND / * / — / *,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.ceo-commands.action.button,app/(app)/ceo-commands/page.jsx,246,,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.ceo-commands.action.reconcile-delivery,app/(app)/ceo-commands/page.jsx,262,,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.ceo-inbox.action.sync,app/(app)/ceo-inbox/page.jsx,149,,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.ceo-inbox.form-submit.form,app/(app)/ceo-inbox/page.jsx,157,—,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.ceo-inbox.action.button,app/(app)/ceo-inbox/page.jsx,162,,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.ceo-inbox.action.refresh,app/(app)/ceo-inbox/page.jsx,174,,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.ceo-inbox.action.reconcile-message,app/(app)/ceo-inbox/page.jsx,177,,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.ceo-inbox.action.button.2,app/(app)/ceo-inbox/page.jsx,179,,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.ceo-inbox.form-submit.send,app/(app)/ceo-inbox/page.jsx,179,,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.ceo-overview.action.refresh-filter,app/(app)/ceo-overview/page.jsx,181,,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
