"route","source","dynamic","methods","mappingStatus"
"/api/apikeys","app/api/apikeys/route.js","false","GET | POST | PUT | DELETE","unreviewed"
"/api/approvals","app/api/approvals/route.js","false","GET","unreviewed"
"/api/approvals/[id]/decide","app/api/approvals/[id]/decide/route.js","true","POST","unreviewed"
"/api/attendance/punch","app/api/attendance/punch/route.js","false","POST","unreviewed"
"/api/audit","app/api/audit/route.js","false","GET","unreviewed"
"/api/auth/[...nextauth]","app/api/auth/[...nextauth]/route.js","true","GET | POST","unreviewed"
"/api/avatar","app/api/avatar/route.js","false","POST | DELETE","unreviewed"
"/api/avatar/[id]","app/api/avatar/[id]/route.js","true","GET","unreviewed"
"/api/ceo/v1/capabilities","app/api/ceo/v1/capabilities/route.js","false","GET","unreviewed"
"/api/ceo/v1/command-gateway","app/api/ceo/v1/command-gateway/route.js","false","GET | POST","unreviewed"
"/api/ceo/v1/command-gateway/[id]/reconcile","app/api/ceo/v1/command-gateway/[id]/reconcile/route.js","true","POST","unreviewed"
"/api/ceo/v1/commands","app/api/ceo/v1/commands/route.js","false","POST","unreviewed"
"/api/ceo/v1/commands/receipts","app/api/ceo/v1/commands/receipts/route.js","false","GET","unreviewed"
"/api/ceo/v1/dashboard","app/api/ceo/v1/dashboard/route.js","false","GET","unreviewed"
"/api/ceo/v1/dashboard/cron","app/api/ceo/v1/dashboard/cron/route.js","false","GET","unreviewed"
"/api/ceo/v1/dashboard/refresh","app/api/ceo/v1/dashboard/refresh/route.js","false","POST","unreviewed"
"/api/ceo/v1/decision-queue","app/api/ceo/v1/decision-queue/route.js","false","GET","unreviewed"
"/api/ceo/v1/decisions","app/api/ceo/v1/decisions/route.js","false","GET","unreviewed"
"/api/ceo/v1/directory","app/api/ceo/v1/directory/route.js","false","GET","unreviewed"
"/api/ceo/v1/directory/profile","app/api/ceo/v1/directory/profile/route.js","false","GET | PUT","unreviewed"
"/api/ceo/v1/federation/policy","app/api/ceo/v1/federation/policy/route.js","false","GET | PUT","unreviewed"
"/api/ceo/v1/federation/presence","app/api/ceo/v1/federation/presence/route.js","false","GET","unreviewed"
"/api/ceo/v1/federation/world","app/api/ceo/v1/federation/world/route.js","false","GET","unreviewed"
"/api/ceo/v1/health","app/api/ceo/v1/health/route.js","false","GET","unreviewed"
"/api/ceo/v1/identity/recover","app/api/ceo/v1/identity/recover/route.js","false","POST","unreviewed"
"/api/ceo/v1/identity/recovery","app/api/ceo/v1/identity/recovery/route.js","false","POST","unreviewed"
"/api/ceo/v1/identity/session","app/api/ceo/v1/identity/session/route.js","false","GET | POST","unreviewed"
"/api/ceo/v1/identity/session/step-up","app/api/ceo/v1/identity/session/step-up/route.js","false","POST","unreviewed"
"/api/ceo/v1/identity/sessions/[id]/revoke","app/api/ceo/v1/identity/sessions/[id]/revoke/route.js","true","POST","unreviewed"
"/api/ceo/v1/messaging/conversations","app/api/ceo/v1/messaging/conversations/route.js","false","GET | POST","unreviewed"
"/api/ceo/v1/messaging/conversations/[id]","app/api/ceo/v1/messaging/conversations/[id]/route.js","true","GET | PATCH","unreviewed"
"/api/ceo/v1/messaging/conversations/[id]/messages","app/api/ceo/v1/messaging/conversations/[id]/messages/route.js","true","POST","unreviewed"
"/api/ceo/v1/messaging/conversations/[id]/refresh","app/api/ceo/v1/messaging/conversations/[id]/refresh/route.js","true","POST","unreviewed"
"/api/ceo/v1/messaging/deliver","app/api/ceo/v1/messaging/deliver/route.js","false","POST","unreviewed"
"/api/ceo/v1/messaging/directory","app/api/ceo/v1/messaging/directory/route.js","false","GET | POST","unreviewed"
"/api/ceo/v1/messaging/export","app/api/ceo/v1/messaging/export/route.js","false","GET","unreviewed"
"/api/ceo/v1/messaging/feed","app/api/ceo/v1/messaging/feed/route.js","false","GET","unreviewed"
"/api/ceo/v1/messaging/messages/[id]/reconcile","app/api/ceo/v1/messaging/messages/[id]/reconcile/route.js","true","POST","unreviewed"
"/api/ceo/v1/messaging/receipts","app/api/ceo/v1/messaging/receipts/route.js","false","GET","unreviewed"
"/api/ceo/v1/registry","app/api/ceo/v1/registry/route.js","false","GET","unreviewed"
"/api/ceo/v1/registry/[id]","app/api/ceo/v1/registry/[id]/route.js","true","PATCH","unreviewed"
"/api/ceo/v1/registry/[id]/rotate","app/api/ceo/v1/registry/[id]/rotate/route.js","true","POST","unreviewed"
"/api/ceo/v1/registry/[id]/service-credential","app/api/ceo/v1/registry/[id]/service-credential/route.js","true","POST","unreviewed"
"/api/ceo/v1/rollout","app/api/ceo/v1/rollout/route.js","false","GET","unreviewed"
"/api/ceo/v1/rollout/[entityId]/transition","app/api/ceo/v1/rollout/[entityId]/transition/route.js","true","POST","unreviewed"
"/api/ceo/v1/rollout/evidence","app/api/ceo/v1/rollout/evidence/route.js","false","POST","unreviewed"
"/api/ceo/v1/security/control-plane","app/api/ceo/v1/security/control-plane/route.js","false","GET | POST","unreviewed"
"/api/ceo/v1/security/rehearsal","app/api/ceo/v1/security/rehearsal/route.js","false","GET | POST","unreviewed"
"/api/ceo/v1/security/service-credential","app/api/ceo/v1/security/service-credential/route.js","false","GET | POST","unreviewed"
"/api/ceo/v1/snapshot","app/api/ceo/v1/snapshot/route.js","false","GET","unreviewed"
"/api/ceo/v1/sso/authorize","app/api/ceo/v1/sso/authorize/route.js","false","POST","unreviewed"
"/api/ceo/v1/sso/callback","app/api/ceo/v1/sso/callback/route.js","false","GET","unreviewed"
"/api/ceo/v1/sso/exchange","app/api/ceo/v1/sso/exchange/route.js","false","POST","unreviewed"
"/api/ceo/v1/staff/links","app/api/ceo/v1/staff/links/route.js","false","GET | POST | DELETE","unreviewed"
"/api/ceo/v1/staff/message","app/api/ceo/v1/staff/message/route.js","false","POST","unreviewed"
"/api/ceo/v1/staff/sso","app/api/ceo/v1/staff/sso/route.js","false","POST | PUT","unreviewed"
"/api/chat","app/api/chat/route.js","false","GET | POST","unreviewed"
"/api/chat/[id]","app/api/chat/[id]/route.js","true","GET | POST","unreviewed"
"/api/collaboration/contact","app/api/collaboration/contact/route.js","false","GET | POST | PATCH","unreviewed"
"/api/collaboration/presence","app/api/collaboration/presence/route.js","false","GET | POST | DELETE","unreviewed"
"/api/copilot","app/api/copilot/route.js","false","POST","unreviewed"
"/api/data/[resource]","app/api/data/[resource]/route.js","true","GET | POST","unreviewed"
"/api/data/[resource]/[id]","app/api/data/[resource]/[id]/route.js","true","PUT | DELETE","unreviewed"
"/api/docs","app/api/docs/route.js","false","GET | POST","unreviewed"
"/api/docs/[id]","app/api/docs/[id]/route.js","true","GET | DELETE","unreviewed"
"/api/email/send","app/api/email/send/route.js","false","POST","unreviewed"
"/api/errorlog","app/api/errorlog/route.js","false","POST","unreviewed"
"/api/execution/actions","app/api/execution/actions/route.js","false","POST","unreviewed"
"/api/execution/my-work","app/api/execution/my-work/route.js","false","GET","unreviewed"
"/api/execution/team-work","app/api/execution/team-work/route.js","false","GET","unreviewed"
"/api/finance/intelligence","app/api/finance/intelligence/route.js","false","GET","unreviewed"
"/api/freelancer/home","app/api/freelancer/home/route.js","false","GET","unreviewed"
"/api/freelancer/task/[id]","app/api/freelancer/task/[id]/route.js","true","PUT","unreviewed"
"/api/freelancer/timelog","app/api/freelancer/timelog/route.js","false","GET | POST | DELETE","unreviewed"
"/api/hr/evidence-intelligence","app/api/hr/evidence-intelligence/route.js","false","GET","unreviewed"
"/api/ics","app/api/ics/route.js","false","GET","unreviewed"
"/api/ics/[token]","app/api/ics/[token]/route.js","true","GET","unreviewed"
"/api/import","app/api/import/route.js","false","POST","unreviewed"
"/api/import/bulk","app/api/import/bulk/route.js","false","POST","unreviewed"
"/api/insights","app/api/insights/route.js","false","GET","unreviewed"
"/api/integrations/leozops/v1/lead-snapshot","app/api/integrations/leozops/v1/lead-snapshot/route.js","false","GET | POST | PUT | PATCH | DELETE | HEAD | OPTIONS","unreviewed"
"/api/invoices/[id]/pay","app/api/invoices/[id]/pay/route.js","true","POST","unreviewed"
"/api/invoices/from-hours","app/api/invoices/from-hours/route.js","false","GET | POST","unreviewed"
"/api/lead-intake","app/api/lead-intake/route.js","false","GET | POST","unreviewed"
"/api/leads/workload","app/api/leads/workload/route.js","false","GET","unreviewed"
"/api/livesessions/[id]/reconcile","app/api/livesessions/[id]/reconcile/route.js","true","POST","unreviewed"
"/api/livesessions/[id]/settle","app/api/livesessions/[id]/settle/route.js","true","POST","unreviewed"
"/api/notifications","app/api/notifications/route.js","false","GET | PUT","unreviewed"
"/api/payouts/[id]/pay","app/api/payouts/[id]/pay/route.js","true","POST","unreviewed"
"/api/payroll","app/api/payroll/route.js","false","GET | POST | PUT","unreviewed"
"/api/payroll/[id]/finalize","app/api/payroll/[id]/finalize/route.js","true","POST","unreviewed"
"/api/projects/[id]/execution-health","app/api/projects/[id]/execution-health/route.js","true","GET","unreviewed"
"/api/projects/apply-template","app/api/projects/apply-template/route.js","false","POST","unreviewed"
"/api/projects/stats","app/api/projects/stats/route.js","false","GET","unreviewed"
"/api/push/subscribe","app/api/push/subscribe/route.js","false","POST | DELETE","unreviewed"
"/api/quotes/[id]/convert","app/api/quotes/[id]/convert/route.js","true","POST","unreviewed"
"/api/realm-demo/actions","app/api/realm-demo/actions/route.js","false","POST","unreviewed"
"/api/realm-demo/changes","app/api/realm-demo/changes/route.js","false","GET","unreviewed"
"/api/realm-demo/chronicle","app/api/realm-demo/chronicle/route.js","false","GET","unreviewed"
"/api/realm-demo/command-center","app/api/realm-demo/command-center/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/economy","app/api/realm-demo/economy/route.js","false","GET","unreviewed"
"/api/realm-demo/embassy","app/api/realm-demo/embassy/route.js","false","GET","unreviewed"
"/api/realm-demo/experience","app/api/realm-demo/experience/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/feedback","app/api/realm-demo/feedback/route.js","false","GET | POST | PATCH","unreviewed"
"/api/realm-demo/guild","app/api/realm-demo/guild/route.js","false","GET","unreviewed"
"/api/realm-demo/health","app/api/realm-demo/health/route.js","false","GET","unreviewed"
"/api/realm-demo/launch","app/api/realm-demo/launch/route.js","false","POST","unreviewed"
"/api/realm-demo/launch/approvals","app/api/realm-demo/launch/approvals/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/operations","app/api/realm-demo/operations/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/pilot","app/api/realm-demo/pilot/route.js","false","GET | PUT | PATCH","unreviewed"
"/api/realm-demo/pilot/operations","app/api/realm-demo/pilot/operations/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/pilot/rehearsal","app/api/realm-demo/pilot/rehearsal/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/readiness","app/api/realm-demo/readiness/route.js","false","GET","unreviewed"
"/api/realm-demo/release-candidate","app/api/realm-demo/release-candidate/route.js","false","GET","unreviewed"
"/api/realm-demo/rewards","app/api/realm-demo/rewards/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/session","app/api/realm-demo/session/route.js","false","POST","unreviewed"
"/api/realm-demo/token","app/api/realm-demo/token/route.js","false","POST","unreviewed"
"/api/realm-demo/treasury","app/api/realm-demo/treasury/route.js","false","GET | POST","unreviewed"
"/api/realm-demo/war-room","app/api/realm-demo/war-room/route.js","false","GET","unreviewed"
"/api/realm-v2/profile-recognition","app/api/realm-v2/profile-recognition/route.js","false","GET","unreviewed"
"/api/recurring/generate","app/api/recurring/generate/route.js","false","POST","unreviewed"
"/api/settings","app/api/settings/route.js","false","GET | PUT","unreviewed"
"/api/shipments/[id]/pay","app/api/shipments/[id]/pay/route.js","true","POST","unreviewed"
"/api/staff-message/deliver","app/api/staff-message/deliver/route.js","false","POST","unreviewed"
"/api/staff-sso/callback","app/api/staff-sso/callback/route.js","false","GET","unreviewed"
"/api/staff-sso/start","app/api/staff-sso/start/route.js","false","POST","unreviewed"
"/api/stocklots/[id]/issue","app/api/stocklots/[id]/issue/route.js","true","POST","unreviewed"
"/api/users","app/api/users/route.js","false","POST | PUT","unreviewed"
"/api/users/2fa","app/api/users/2fa/route.js","false","GET | POST | DELETE","unreviewed"
"/api/v1/[resource]","app/api/v1/[resource]/route.js","true","GET | POST","unreviewed"
"/api/v1/[resource]/[id]","app/api/v1/[resource]/[id]/route.js","true","GET | PUT | DELETE","unreviewed"
"/api/v1/summary","app/api/v1/summary/route.js","false","GET","unreviewed"
"/api/vendorbills/[id]/pay","app/api/vendorbills/[id]/pay/route.js","true","POST","unreviewed"
