"elementId","source","line","column","surface","tag","kind","label","handlerEvent","handler","target","insideForm","disabledBinding","actionStatus","mappingStatus","businessFeature","resourceCandidates","apiCandidates","routeCandidates","uxRiskCandidates"
"route.analytics.action.ghi-phan-hoi","app/(app)/analytics/page.jsx","158","32","route.analytics","button","action","Ghi phản hồi","onClick","() => setModal({ mode: 'add' })","","false","","handler-candidate","unreviewed","","clients | csat | invoices | leads | nps | transactions","","",""
"route.analytics.action.setmodal-mode-del-row-r","app/(app)/analytics/page.jsx","168","36","route.analytics","button","action","","onClick","() => setModal({ mode: 'del', row: r })","","false","","handler-candidate","unreviewed","","clients | csat | invoices | leads | nps | transactions","","","unlabelled_button_candidate"
"route.approvals.action.ang-xu-ly-duyet","app/(app)/approvals/page.jsx","41","11","route.approvals","button","action","Đang xử lý… / Duyệt","onClick","() => onDecide(ap, 'approve')","","false","busy","handler-candidate","unreviewed","","","GET '/api/approvals' | POST `/api/approvals/${ap.id}/decide`","",""
"route.approvals.action.tu-choi","app/(app)/approvals/page.jsx","42","11","route.approvals","button","action","Từ chối","onClick","() => onDecide(ap, 'reject')","","false","busy","handler-candidate","unreviewed","","","GET '/api/approvals' | POST `/api/approvals/${ap.id}/decide`","",""
"route.assets.action.them-tai-san","app/(app)/assets/page.jsx","49","20","route.assets","button","action","Thêm tài sản","onClick","() => setModal({ mode: 'add' })","","false","","handler-candidate","unreviewed","","assets | users","","",""
"route.assets.action.sua","app/(app)/assets/page.jsx","66","21","route.assets","button","action","Sửa","onClick","() => setModal({ mode: 'edit', row: a })","","false","","handler-candidate","unreviewed","","assets | users","","",""
"route.assets.action.xoa","app/(app)/assets/page.jsx","67","21","route.assets","button","action","Xóa","onClick","() => setModal({ mode: 'del', row: a })","","false","","handler-candidate","unreviewed","","assets | users","","",""
"route.attendance.action.label","app/(app)/attendance/page.jsx","62","13","route.attendance","AsyncButton","action","{label}","onClick","() => clockIn(k)","","false","mutating","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.action.tan-ca","app/(app)/attendance/page.jsx","64","72","route.attendance","AsyncButton","action","🚪 Tan ca","onClick","clockOut","","false","mutating","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.form-control.select","app/(app)/attendance/page.jsx","73","9","route.attendance","select","form-control","","","","","false","","control-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","","control_binding_unverified"
"route.attendance.action.ngay-le","app/(app)/attendance/page.jsx","78","18","route.attendance","button","action","Ngày lễ","onClick","() => setModal({ mode: 'holiday' })","","false","","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.action.ghi-ot","app/(app)/attendance/page.jsx","79","18","route.attendance","button","action","Ghi OT","onClick","() => setModal({ mode: 'ot' })","","false","","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.action.xoa","app/(app)/attendance/page.jsx","115","32","route.attendance","button","action","Xóa","onClick","() => setDel(r)","","false","","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.action.ong","app/(app)/attendance/page.jsx","144","62","route.attendance","button","action","Đóng","onClick","onClose","","false","","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.form-control.input","app/(app)/attendance/page.jsx","146","9","route.attendance","input","form-control","","","","","false","","control-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","","control_binding_unverified"
"route.attendance.form-control.ten-ngay-le-vd-quoc-khanh","app/(app)/attendance/page.jsx","147","9","route.attendance","input","form-control","Tên ngày lễ (VD: Quốc khánh)","","","","false","","control-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","","control_binding_unverified"
"route.attendance.action.them","app/(app)/attendance/page.jsx","148","9","route.attendance","AsyncButton","action","Thêm","onClick","async () => { if (!name.trim()) return; const r = await holidays.create({ date, name: name.trim() }); if (r) { toast('Đã thêm'); setName(''); } }","","false","holidays.mutating","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.action.setdeleting-h","app/(app)/attendance/page.jsx","153","11","route.attendance","button","action","","onClick","() => setDeleting(h)","","false","","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
"route.attendance.action.huy","app/(app)/attendance/page.jsx","169","17","route.attendance","button","action","Hủy","onClick","onClose","","false","","handler-candidate","unreviewed","","attendance | holidays | users","GET '/api/settings'","",""
