"route","source","dynamic","auth","inNavigation","navLabel","navSection","roles","module","resourceCandidates","apiCandidates","routeCandidates","mappingStatus"
"/","app/page.jsx","false","public","false","","","","","","","","unreviewed"
"/analytics","app/(app)/analytics/page.jsx","false","authenticated","true","Analytics (MRR/LTV)","Công ty","DIRECTOR | ACCOUNTANT | AM | PM","analytics","clients | csat | invoices | leads | nps | transactions","","","unreviewed"
"/approvals","app/(app)/approvals/page.jsx","false","authenticated","true","Phê duyệt","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","GET '/api/approvals' | POST `/api/approvals/${ap.id}/decide`","","unreviewed"
"/assets","app/(app)/assets/page.jsx","false","authenticated","true","Tài sản","Công ty","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","assets | users","","","unreviewed"
"/attendance","app/(app)/attendance/page.jsx","false","authenticated","true","Chấm công ngày","Nhân sự","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","attendance | holidays | users","GET '/api/settings'","","unreviewed"
"/audit","app/(app)/audit/page.jsx","false","authenticated","true","Nhật ký hệ thống","Công ty","DIRECTOR","","","GET '/api/audit'","","unreviewed"
"/automation","app/(app)/automation/page.jsx","false","authenticated","true","Tự động hóa","Công ty","DIRECTOR","","rules | users","","","unreviewed"
"/calendar","app/(app)/calendar/page.jsx","false","authenticated","true","Lịch làm việc","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","activities | contracts | invoices | leaves | projects | tasks | users","GET '/api/ics'","","unreviewed"
"/ceo-commands","app/(app)/ceo-commands/page.jsx","false","authenticated","true","CEO · Điều phối liên công ty","Công ty","DIRECTOR","","","GET '/api/ceo/v1/registry' | GET '/api/ceo/v1/identity/session' | GET '/api/ceo/v1/command-gateway?limit=75' | POST '/api/ceo/v1/command-gateway' | POST `/api/ceo/v1/command-gateway/${encodeURIComponent(delivery.id)}/reconcile` | POST '/api/ceo/v1/sso/authorize'","body.destination","unreviewed"
"/ceo-inbox","app/(app)/ceo-inbox/page.jsx","false","authenticated","true","CEO · Hộp thư liên công ty","Công ty","DIRECTOR","","","GET '/api/ceo/v1/identity/session' | GET '/api/ceo/v1/messaging/directory' | GET '/api/ceo/v1/messaging/conversations' | GET `/api/ceo/v1/messaging/conversations/${encodeURIComponent(id)}` | POST '/api/ceo/v1/messaging/directory' | POST '/api/ceo/v1/messaging/conversations' | POST `/api/ceo/v1/messaging/conversations/${encodeURIComponent(thread.id)}/messages` | POST `/api/ceo/v1/messaging/conversations/${encodeURIComponent(thread.id)}/refresh` | POST `/api/ceo/v1/messaging/messages/${encodeURIComponent(message.id)}/reconcile`","","unreviewed"
"/ceo-overview","app/(app)/ceo-overview/page.jsx","false","authenticated","true","CEO · Tổng quan 4 công ty","Công ty","DIRECTOR","","","GET `/api/ceo/v1/dashboard?entity=${encodeURIComponent(entityId)}` | GET '/api/ceo/v1/identity/session' | POST '/api/ceo/v1/dashboard/refresh' | POST '/api/ceo/v1/sso/authorize'","body.destination","unreviewed"
"/ceo-registry","app/(app)/ceo-registry/page.jsx","false","authenticated","true","CEO · Danh bạ công ty","Công ty","DIRECTOR","","","GET '/api/ceo/v1/registry' | GET '/api/ceo/v1/identity/session' | PATCH `/api/ceo/v1/registry/${encodeURIComponent(entity.id)}` | POST `/api/ceo/v1/registry/${encodeURIComponent(rotating.id)}/rotate` | POST '/api/ceo/v1/identity/session' | POST '/api/ceo/v1/identity/session/step-up' | POST '/api/ceo/v1/identity/recovery' | POST `/api/ceo/v1/identity/sessions/${encodeURIComponent(sessionId)}/revoke` | POST '/api/ceo/v1/sso/authorize'","body.destination","unreviewed"
